file,country,frequency,dataset,period_min,period_max,nonempty_cells,series_count
"Financial Soundness Indicators (FSI), Country Metadata Table 2.csv",Chile,Monthly,IMF.STA:FSI_COUNTRY_METADATA_TABLE_2(2.0.0),2001-M01,2050-M12,12600,21
"Financial Soundness Indicators (FSI), Country Metadata Table 2.csv",Colombia,Monthly,IMF.STA:FSI_COUNTRY_METADATA_TABLE_2(2.0.0),2005-M01,2050-M12,12296,25
"Financial Soundness Indicators (FSI), Country Metadata Table 2.csv",Bolivia,Monthly,IMF.STA:FSI_COUNTRY_METADATA_TABLE_2(2.0.0),2015-M01,2050-M12,9072,21
"Financial Soundness Indicators (FSI), Country Metadata Table 2.csv",Paraguay,Monthly,IMF.STA:FSI_COUNTRY_METADATA_TABLE_2(2.0.0),2005-M01,2050-M12,11592,21
"Financial Soundness Indicators (FSI), Country Metadata Table 2.csv",Ecuador,Monthly,IMF.STA:FSI_COUNTRY_METADATA_TABLE_2(2.0.0),2008-M01,2050-M12,10836,21
International Investment Position (IIP).csv,Bolivia,Quarterly,IMF.STA:IIP(13.0.0),2004-Q1,2026-Q2,12988,216
International Investment Position (IIP).csv,Argentina,Quarterly,IMF.STA:IIP(13.0.0),2016-Q1,2026-Q1,15883,388
International Investment Position (IIP).csv,Brazil,Quarterly,IMF.STA:IIP(13.0.0),2001-Q4,2026-Q1,26404,326
International Investment Position (IIP).csv,Colombia,Quarterly,IMF.STA:IIP(13.0.0),1996-Q4,2026-Q1,28068,265
International Investment Position (IIP).csv,Peru,Quarterly,IMF.STA:IIP(13.0.0),1991-Q1,2025-Q4,28378,392
International Investment Position (IIP).csv,Paraguay,Quarterly,IMF.STA:IIP(13.0.0),2000-Q1,2026-Q1,32382,387
International Investment Position (IIP).csv,Ecuador,Quarterly,IMF.STA:IIP(13.0.0),2016-Q1,2026-Q1,16072,392
International Investment Position (IIP).csv,Uruguay,Quarterly,IMF.STA:IIP(13.0.0),2011-Q4,2026-Q1,19761,355
International Investment Position (IIP).csv,Chile,Quarterly,IMF.STA:IIP(13.0.0),2003-Q4,2026-Q1,17797,226
International Liquidity (IL).csv,Bolivia,Monthly,IMF.STA:IL(13.0.1),1945-M01,2026-M07,12454,16
International Liquidity (IL).csv,Bolivia,Quarterly,IMF.STA:IL(13.0.1),1945-Q1,2026-Q2,4207,16
International Liquidity (IL).csv,Colombia,Quarterly,IMF.STA:IL(13.0.1),1945-Q1,2026-Q2,4236,16
International Liquidity (IL).csv,Peru,Quarterly,IMF.STA:IL(13.0.1),1945-Q1,2026-Q2,4200,16
International Liquidity (IL).csv,Paraguay,Monthly,IMF.STA:IL(13.0.1),1945-M01,2026-M07,12528,16
