entidad_publicada,entidad_clave,es_agregado,metodo_clave,celdas,meses,primer_mes,ultimo_mes,tipos
Financiera Exportadora Paraguaya S.A.(FINEXPAR),FINANCIERA EXPORTADORA PARAGUAYA,FALSE,normalizacion_automatica,11953,36,2011-01,2013-12,financieras
Finexpar S.A.E.C.A.,FINANCIERA EXPORTADORA PARAGUAYA,FALSE,alias_revisable,1187,3,2015-10,2015-12,financieras
4-     Financiera Internacional Santa Ana S.A.,FINANCIERA INTERNACIONAL SANTA ANA,FALSE,normalizacion_automatica,3875,40,2012-09,2015-12,financieras
FINANCIERA INTERNACIONAL SANTA ANA S.A.,FINANCIERA INTERNACIONAL SANTA ANA,FALSE,normalizacion_automatica,358,13,2011-11,2012-11,financieras
Financiera Internacional Santa Ana S.A.,FINANCIERA INTERNACIONAL SANTA ANA,FALSE,normalizacion_automatica,22814,56,2011-01,2015-08,financieras
2-     Financiera Paraguayo - Japonesa  S.A.E.C.A.,FINANCIERA PARAGUAYO JAPONESA,FALSE,normalizacion_automatica,3875,40,2012-09,2015-12,financieras
FINANCIERA PARAGUAYO JAPONESA S.A.E.C.A.,FINANCIERA PARAGUAYO JAPONESA,FALSE,normalizacion_automatica,358,13,2011-11,2012-11,financieras
Financiera Paraguayo - Japonesa  S.A.E.C.A.,FINANCIERA PARAGUAYO JAPONESA,FALSE,normalizacion_automatica,11973,36,2011-01,2013-12,financieras
Financiera Paraguayo - Japonesa S.A.E.C.A.,FINANCIERA PARAGUAYO JAPONESA,FALSE,normalizacion_automatica,12808,27,2013-09,2015-12,financieras
8-    Financiera Río S.A.,FINANCIERA RIO,FALSE,normalizacion_automatica,3407,37,2012-09,2015-09,financieras
8-    Financiera Río S.A.E.C.A.,FINANCIERA RIO,FALSE,normalizacion_automatica,468,15,2014-10,2015-12,financieras
FINANCIERA RIO S.A.,FINANCIERA RIO,FALSE,normalizacion_automatica,358,13,2011-11,2012-11,financieras
Financier Rio S.A.,FINANCIERA RIO,FALSE,alias_revisable,100,14,2011-01,2012-02,financieras
Financiera Rio S.A.,FINANCIERA RIO,FALSE,normalizacion_automatica,4430,36,2011-01,2013-12,financieras
Financiera Río S.A.,FINANCIERA RIO,FALSE,normalizacion_automatica,18781,43,2012-03,2015-09,financieras
Financiera Río S.A.E.C.A.,FINANCIERA RIO,FALSE,normalizacion_automatica,1452,3,2015-10,2015-12,financieras
7-    Finlatina S.A. de Finanzas,FINLATINA DE FINANZAS,FALSE,normalizacion_automatica,3875,40,2012-09,2015-12,financieras
FINLATINA S.A. DE FINANZAS,FINLATINA DE FINANZAS,FALSE,normalizacion_automatica,358,13,2011-11,2012-11,financieras
Finlatina S.A. de Finanzas,FINLATINA DE FINANZAS,FALSE,normalizacion_automatica,24762,60,2011-01,2015-12,financieras
FONDO GANADERO,FONDO GANADERO,FALSE,normalizacion_automatica,98,10,2011-11,2012-11,financieras
Fondo Ganadero,FONDO GANADERO,FALSE,normalizacion_automatica,27298,60,2011-01,2015-12,financieras
Forex Paraguay S.A.,FOREX PARAGUAY,FALSE,normalizacion_automatica,5745,59,2011-01,2015-11,casas_cambio
Fortuna Cambios S.A.,FORTUNA CAMBIOS,FALSE,normalizacion_automatica,5714,60,2011-01,2015-12,casas_cambio
Global Exchange S.A.,GLOBAL EXCHANGE,FALSE,normalizacion_automatica,4502,41,2012-08,2015-12,casas_cambio
Golden Cambios S.A.,GOLDEN CAMBIOS,FALSE,normalizacion_automatica,5849,60,2011-01,2015-12,casas_cambio
3-     Grupo Internacional de Finanzas S.A.E.C.A. (INTERFISA),GRUPO INTERNACIONAL DE FINANZAS,FALSE,normalizacion_automatica,2159,29,2012-09,2015-01,financieras
