archivo,hoja,tipo,diseno,fila,concepto,seccion,suma,n,sistema,eje,columna,es_monto,rel
2_BOLF 092013_N(1).xls,8,financieras,nuevo,,--,,22246.285338,2,125042.657025,entidad_en_fila,9,TRUE,-0.822090430039788
2_BOLF 092013_N(1).xls,8,financieras,nuevo,,--,,23219.703744,2,127469.035884,entidad_en_fila,10,TRUE,-0.817840438009349
2_BOLF 092013_N(1).xls,8,financieras,nuevo,,--,,24517.772693,2,125305.13773,entidad_en_fila,11,TRUE,-0.804335455535515
2_BOLF 092013_N(1).xls,8,financieras,nuevo,,--,,25389.511355,2,129542.447745,entidad_en_fila,12,TRUE,-0.804006240448857
2_BOLF 092013_N(1).xls,8,financieras,nuevo,,--,,25669.28876,2,131060.988569,entidad_en_fila,13,TRUE,-0.804142414609624
2_BOLF 092013_N(1).xls,8,financieras,nuevo,,--,,27697.100498,2,135967.115366,entidad_en_fila,14,TRUE,-0.796295593802633
2_BOLF 112014.xls,11,financieras,nuevo,,Noviembre              2014,,177070.911782,11,177286.804939,entidad_en_fila,14,TRUE,-0.00121776212885272
2_BOLF 112015.xls,13,financieras,nuevo,,Abril              2015,,5259.148783,13,5336.727567,entidad_en_fila,7,TRUE,-0.0145367705257645
2_BOLF 112015.xls,14,financieras,nuevo,,Abril              2015,,1639.086226,13,1657.259502,entidad_en_fila,7,TRUE,-0.0109658601915201
2_BOLF 112015.xls,15,financieras,nuevo,,Abril              2015,,244334.088638,13,250865.219,entidad_en_fila,7,TRUE,-0.0260344195502049
2_BOLF 112015.xls,16,financieras,nuevo,,Abril              2015,,49685.829596,13,53242.28371,entidad_en_fila,7,TRUE,-0.066797550108318
2_BOLF 112015.xls,17,financieras,nuevo,,Abril              2015,,16971.831491,13,16992.770821,entidad_en_fila,7,TRUE,-0.00123224930298735
2_BOLF 112015.xls,5,financieras,nuevo,30,Agricultura | -- | --,OTROS,18937.707849,2,648742.992566,entidad_en_columna,,TRUE,-0.970808612862091
2_BOLF 112015.xls,5,financieras,nuevo,31,Ganadería | --,OTROS,8319.719785,2,138240.17517,entidad_en_columna,,TRUE,-0.939816918093681
2_BOLF 112015.xls,5,financieras,nuevo,37,Exportación | -- | -- | --,OTROS,36172.8301,2,57553.28995,entidad_en_columna,,TRUE,-0.371489794390112
2_BOLF 12.2014.xls,11,financieras,nuevo,,Noviembre              2014,,177070.911782,11,177286.804939,entidad_en_fila,13,TRUE,-0.00121776212885272
2_BOLF 12.2014.xls,11,financieras,nuevo,,Diciembre              2014,,171980.773873,11,172272.509048,entidad_en_fila,14,TRUE,-0.00169345170980643
2_BOLF102013_N.xls,1,financieras,nuevo,58,OTRAS ENTIDADES,,69364.881328,12,316733.96039139,entidad_en_columna,,TRUE,-0.780999545352556
2_BOLF102013_N.xls,8,financieras,nuevo,,--,,18698.978918,2,117625.683713,entidad_en_fila,2,TRUE,-0.841029796148735
2_BOLF102013_N.xls,8,financieras,nuevo,,--,,18519.130555,2,119863.990672,entidad_en_fila,3,TRUE,-0.845498798670266
2_BOLF102013_N.xls,8,financieras,nuevo,,--,,18844.196422,2,117678.987603,entidad_en_fila,4,TRUE,-0.839867789434317
2_BOLF102013_N.xls,8,financieras,nuevo,,--,,19162.439965,2,120593.810247,entidad_en_fila,5,TRUE,-0.841099307454076
2_BOLF102013_N.xls,8,financieras,nuevo,,--,,20106.937299,2,122546.640031,entidad_en_fila,6,TRUE,-0.835924205723522
2_BOLF102013_N.xls,8,financieras,nuevo,,--,,21064.77244,2,122496.396226,entidad_en_fila,7,TRUE,-0.828037615072883
2_BOLF102013_N.xls,8,financieras,nuevo,,--,,22246.285338,2,125042.657025,entidad_en_fila,8,TRUE,-0.822090430039788
2_BOLF102013_N.xls,8,financieras,nuevo,,--,,23219.703744,2,127469.035884,entidad_en_fila,9,TRUE,-0.817840438009349
2_BOLF102013_N.xls,8,financieras,nuevo,,--,,24517.772693,2,125305.13773,entidad_en_fila,10,TRUE,-0.804335455535515
