codigo,descripcion,nivel,ponderacion_publicada,ponderacion,nota,padre,fuente,archivo_origen
10203053,PUCHERO DE POLLO,4,"0,045",0.045,,10203000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10204000,MENUDENCIAS VACUNAS,3,"0,116",0.116,,10200000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10204054,HÍGADO,4,"0,060",0.06,,10204000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10204055,MONDONGO,4,"0,056",0.056,,10204000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10205000,"EMBUTIDOS, CARNES CONSERVADAS Y OTROS DERIVADOS DE LA CARNE",3,"1,443",1.443,,10200000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10205056,CHORIZO,4,"0,636",0.636,,10205000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10205057,FIAMBRE,4,"0,151",0.151,,10205000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10205058,HAMBURGUESA DE CARNE VACUNA,4,"0,123",0.123,,10205000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10205059,JAMÓN COCIDO,4,"0,105",0.105,,10205000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10205060,JAMONADA,4,"0,089",0.089,,10205000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10205061,MILANESA PARA FREÍR,4,"0,047",0.047,,10205000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10205062,PANCHO,4,"0,261",0.261,,10205000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10205063,PATÉ DE HÍGADO,4,"0,032",0.032,,10205000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10300000,PESCADOS,2,"0,236",0.236,,10000000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10301000,CARNE FRESCA DE PESCADO,3,"0,103",0.103,,10300000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10301061,PESCADO FRESCO ENTERO,4,"0,052",0.052,,10301000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10301062,PESCADO FRESCO EN TROZOS O EN RODAJAS,4,"0,052",0.052,,10301000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10302000,PESCADO EN CONSERVA,3,"0,133",0.133,,10300000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10302063,ATÚN EN CONSERVA EN AGUA,4,"0,067",0.067,,10302000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10302064,ATÚN EN CONSERVA EN ACEITE,4,"0,067",0.067,,10302000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10400000,"PRODUCTOS LÁCTEOS, QUESOS Y HUEVOS",2,"4,910",4.91,,10000000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10401000,LECHE LÍQUIDA,3,"2,377",2.377,,10400000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10401065,LECHE LARGA VIDA O UAT,4,"1,316",1.316,,10401000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10401066,LECHE PASTEURIZADA,4,"0,937",0.937,,10401000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10401067,LECHE DE SOJA SABORIZADA,4,"0,032",0.032,,10401000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10401068,LECHE CHOCOLATADA,4,"0,092",0.092,,10401000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10402000,OTRAS LECHES,3,"0,325",0.325,,10400000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10402069,LECHE EN POLVO INSTANTÁNEA,4,"0,220",0.22,,10402000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10402070,LECHE EN POLVO PARA BEBÉ,4,"0,105",0.105,,10402000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10403000,OTROS PRODUCTOS LÁCTEOS,3,"0,855",0.855,,10400000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10403071,YOGURT ENTERO,4,"0,580",0.58,,10403000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10403072,YOGURT DIETÉTICO,4,"0,054",0.054,,10403000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
