vintage_id,source_id,source_sheet,release_id,numeric_source_cells,accepted_observations,rejected_observations,documented_exclusions,many_to_one_allowance,balance_delta,status,note,checked_at,accepted_cells,cell_reuse,unmapped_in_region,out_of_region_cells,classified_cells,unclassified_cells,parser_defect_cells
payments:de7b4a670c8e2d7430cd91d6,payments,CCCoop,release:dcbccb827b93ee2362ab3c56,560,560,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,560,0,0,0,0,0,0
economic_annex:25818cb75022083e13cab48e,economic_annex,CUADRO 4a,release:dcbccb827b93ee2362ab3c56,768,736,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,736,0,0,32,0,0,0
economic_annex:25818cb75022083e13cab48e,economic_annex,CUADRO 14 b,release:dcbccb827b93ee2362ab3c56,16421,16042,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,16042,0,0,379,0,0,0
economic_annex:25818cb75022083e13cab48e,economic_annex,CUADRO 16,release:dcbccb827b93ee2362ab3c56,4560,4180,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,4180,0,0,380,0,0,0
interbank_market:dbcda6fadd28e3dd5bb3afc2,interbank_market,Datos (+ de 1 día),release:dcbccb827b93ee2362ab3c56,14876,7570,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,7570,0,0,7306,0,0,0
lrm_auctions:b7e160f57d37a215d182eaef,lrm_auctions,Subastas 2020,release:dcbccb827b93ee2362ab3c56,1047,687,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,687,0,0,360,0,0,0
insurance_annex:7cb2b1d2ffa3badb8113e890,insurance_annex,1.1,release:dcbccb827b93ee2362ab3c56,476,476,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,476,0,0,0,0,0,0
insurance_annex:7cb2b1d2ffa3badb8113e890,insurance_annex,1.5,release:dcbccb827b93ee2362ab3c56,442,442,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,442,0,0,0,0,0,0
insurance_annex:7cb2b1d2ffa3badb8113e890,insurance_annex,1.6,release:dcbccb827b93ee2362ab3c56,442,442,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,442,0,0,0,0,0,0
insurance_annex:7cb2b1d2ffa3badb8113e890,insurance_annex,1.12,release:dcbccb827b93ee2362ab3c56,1326,1326,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,1326,0,0,0,0,0,0
insurance_annex:7cb2b1d2ffa3badb8113e890,insurance_annex,1.15,release:dcbccb827b93ee2362ab3c56,357,357,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,357,0,0,0,0,0,0
exchange_rates:a822c1e0cb97438c1bde2836,exchange_rates,USD Prom,release:dcbccb827b93ee2362ab3c56,1016,902,0,104,0,0,balanced,Every numeric cell in the parsed region is an observation or a classified non-observation (104 classified).,2026-09-14T23:20:57Z,902,0,104,10,104,0,0
bcp_fx_daily:a45bea1e1508bb019befcac9,bcp_fx_daily,OpDivisas2026(DatosDiarios),release:dcbccb827b93ee2362ab3c56,1989,1836,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,1836,0,0,153,0,0,0
